,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017
1552,35004,Custom_9,Custom_9,72.5375478210141,71.89528625473038,72.89508492852298,72.44546047790541,69.17219301520089,70.1787515817444,70.60883822352415,52.80245217898591,54.864713745269626,56.70491507147701,54.4745395220946,55.30780698479911,55.36124841825561,55.891161776475855,62.67,63.38,64.8,63.46000000000001,62.24,62.77,63.25,430.0,516.0,545.0,440.0,804.0,661.0,719.0
1553,35004,DIABETE3,RESP046,12.3,8.1,11.95,12.37,10.08,10.62,11.52,7.2,4.42,7.25,7.39,6.86,7.06,7.8,9.75,6.26,9.6,9.88,8.47,8.84,9.66,80.0,70.0,87.0,93.0,143.0,128.0,128.0
1554,35004,DRNKANY5,RESP046,71.22,64.24,62.56,65.43,65.24,65.22,62.15,61.78,55.5,54.56,56.53,58.66,58.0,55.01,66.5,59.87,58.56,60.98,61.95,61.61,58.58,479.0,540.0,527.0,426.0,852.0,679.0,678.0
1555,35004,_HCVU651,RESP046,90.0,87.39,86.28,91.62,90.67,92.09,93.31,81.92,78.77,79.14,83.78,85.11,85.67,88.85,85.96,83.08,82.71,87.7,87.89,88.88,91.08,469.0,531.0,568.0,469.0,880.0,732.0,792.0
1556,35004,_RFHLTH,RESP061,90.76,91.34,87.32,87.62,89.2,86.91,90.15,84.68,86.28,81.6,81.04,84.92,81.35,85.95,87.72,88.81,84.46,84.33,87.06,84.13,88.05,664.0,776.0,793.0,646.0,1289.0,1003.0,1052.0
1557,35004,_RFHYPE5,RESP046,33.43,,35.96,,31.42,,29.56,25.15,,28.66,,25.9,,23.8,29.29,,32.31,,28.66,,26.68,264.0,,330.0,,502.0,,382.0
1558,35004,_RFSMOK3,RESP046,19.35,18.33,20.12,16.37,15.91,16.07,12.68,12.13,10.97,13.62,10.13,10.93,10.67,8.36,15.74,14.65,16.87,13.25,13.42,13.37,10.52,113.0,105.0,136.0,87.0,157.0,119.0,127.0
1559,35004,_TOTINDA,RESP046,77.22,81.96,75.23,77.88,77.33,76.61,78.37,68.24,75.22,67.63,69.84,71.49,70.15,72.05,72.73,78.59,71.43,73.86,74.41,73.38,75.21,540.0,696.0,609.0,578.0,960.0,890.0,813.0
1560,35084,BLOODCHO,RESP046,85.32,,85.56,,87.16,,,81.2,,81.96,,82.96,,,83.26,,83.76,,85.06,,,3638.0,,3588.0,,3263.0,,
1561,35084,Custom_8,Custom_8,0.4667207696930224,,0.48497272275142694,,0.4481390679821248,,,0.40716825264663653,,0.42644083980826736,,0.38209841144416257,,,0.43694451116982946,,0.45570678127984715,,0.41511873971314367,,,1441.0,,1415.0,,1211.0,,
1562,35084,Custom_9,Custom_9,67.86923485070544,65.5691456369427,66.80005555521262,68.30534249004322,69.30163543915788,69.1548954213941,68.50683249724386,58.59076514929455,57.61085436305732,57.79994444478737,59.034657509956794,58.538364560842126,56.485104578605885,56.51316750275615,63.23,61.59,62.3,63.67,63.92,62.81999999999999,62.510000000000005,2390.0,3832.0,2322.0,2410.0,2078.0,1440.0,2083.0
1563,35084,DIABETE3,RESP046,10.12,9.5,8.94,10.53,10.58,11.38,10.35,7.46,7.54,6.82,8.13,7.92,7.82,7.61,8.79,8.52,7.88,9.33,9.25,9.6,8.98,419.0,728.0,380.0,472.0,394.0,272.0,437.0
1564,35084,DRNKANY5,RESP046,66.46,63.99,61.93,59.05,58.51,62.4,61.79,61.76,60.03,57.47,54.51,53.13,55.74,55.95,64.11,62.01,59.7,56.78,55.82,59.07,58.87,2345.0,3858.0,2347.0,2291.0,2043.0,1362.0,2103.0
1565,35084,_HCVU651,RESP046,82.19,82.41,83.51,85.52,88.65,89.61,87.97,77.49,78.57,79.47,81.4,83.91,84.17,83.15,79.84,80.49,81.49,83.46,86.28,86.89,85.56,2505.0,3735.0,2574.0,2528.0,2321.0,1515.0,2083.0
1566,35084,_RFHLTH,RESP061,84.92,87.2,86.34,86.26,85.34,86.59,85.39,81.4,84.62,83.24,82.92,81.42,82.17,81.55,83.16,85.91,84.79,84.59,83.38,84.38,83.47,3404.0,5521.0,3476.0,3511.0,3049.0,2065.0,3047.0
1567,35084,_RFHYPE5,RESP046,31.56,,32.44,,32.94,,33.55,27.56,,28.52,,28.48,,28.69,29.56,,30.48,,30.71,,31.12,1493.0,,1382.0,,1386.0,,1455.0
1568,35084,_RFSMOK3,RESP046,17.68,17.58,15.11,17.35,13.79,14.4,14.18,14.04,14.36,11.93,13.67,10.19,9.98,10.18,15.86,15.97,13.52,15.51,11.99,12.19,12.18,556.0,917.0,503.0,481.0,380.0,280.0,393.0
1569,35084,_TOTINDA,RESP046,76.06,76.84,76.75,79.33,77.06,75.82,74.72,71.94,73.4,72.79,75.45,72.44,69.78,69.66,74.0,75.12,74.77,77.39,74.75,72.8,72.19,2766.0,4915.0,2823.0,3260.0,2512.0,1805.0,2479.0
1570,35300,BLOODCHO,RESP046,87.47,,,,,,,81.01,,,,,,,84.24,,,,,,,1305.0,,,,,,
