,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1660,36140,DIABETE3,RESP046,"[[13.02, 9.64, nan, nan, nan, nan, nan], [9.51, 6.56, nan, nan, nan, nan, nan]]","[0, -3.3799999999999986, 6810.199999999999, 2011, 2012, 13.020000000002256, 9.640000000002146, -3.3799999999999986, -3.3799999999999986]",0+
1661,36140,DRNKANY5,RESP046,"[[60.4, 59.41, nan, nan, nan, nan, nan], [54.17, 52.47, nan, nan, nan, nan, nan]]","[0, -0.9900000000000019, 2051.2900000000036, 2011, 2012, 60.399999999999864, 59.409999999999854, -0.9900000000000019, -0.9900000000000019]",0+
1662,36140,_HCVU651,RESP046,"[[77.99, 81.87, nan, nan, nan, nan, nan], [69.78, 72.97, nan, nan, nan, nan, nan]]","[0, 3.8800000000000097, -7724.690000000019, 2011, 2012, 77.99000000000069, 81.8700000000008, 3.8800000000000097, 3.8800000000000097]",0+
1663,36140,_RFHLTH,RESP061,"[[84.03, 80.42, nan, nan, nan, nan, nan], [79.82, 74.91, nan, nan, nan, nan, nan]]","[0, -3.6099999999999994, 7343.739999999999, 2011, 2012, 84.02999999999975, 80.42000000000007, -3.6099999999999994, -3.6099999999999994]",0-
1664,36140,_RFHYPE5,RESP046,"[[37.25, nan, nan, nan, nan, nan, nan], [31.96, nan, nan, nan, nan, nan, nan]]","[0, 0, 37.25, 2011, 2011, 37.25, 37.25, 0, 0]",00
1665,36140,_RFSMOK3,RESP046,"[[24.1, 23.55, nan, nan, nan, nan, nan], [18.34, 16.34, nan, nan, nan, nan, nan]]","[0, 0, 23.825000000000003, 2011, 2012, 23.825000000000003, 23.825000000000003, 0, 0]",00
1666,36140,_TOTINDA,RESP046,"[[72.5, 74.74, nan, nan, nan, nan, nan], [66.58, 68.74, nan, nan, nan, nan, nan]]","[0, 2.2399999999999944, -4432.1399999999885, 2011, 2012, 72.5, 74.74000000000069, 2.2399999999999944, 2.2399999999999944]",0+
1667,36260,BLOODCHO,RESP046,"[[75.64, nan, 77.47, nan, 76.01, nan, nan], [73.11, nan, 75.24, nan, 73.58, nan, nan]]","[0, 0.10205232681497223, -129.13234588128236, 2011, 2015, 76.09488334362678, 76.50309265088669, 0.10205232681497223, 0.10205232681497223]",0+
1668,36260,Custom_8,Custom_8,"[[46.68164992067689, nan, 44.05576352136311, nan, 44.48098934350743, nan, nan], [42.8701561573751, nan, 40.72021905196951, nan, 40.83722623990793, nan, nan]]","[0, -0.5599833299388001, 1172.3911452684736, 2011, 2015, 46.264668761546545, 44.024735441791336, -0.5599833299388001, -0.5599833299388001]",0+
1669,36260,Custom_9,Custom_9,"[[62.04, 59.980000000000004, 59.13, 62.32, 63.17, 63.349999999999994, 64.24000000000001], [56.67361387896845, 54.78757282188763, 54.31725649966675, 57.9363941783048, 58.00754903170984, 57.91561871046942, 58.492609287685426]]","[0.18420152183825853, -741.369356810968, 746021.6902305076, 2011, 2017, 61.15638171101455, 64.72262063215021, -0.5108359774922064, 1.6995822845668727]",--
